"OEC ID";"HS ID";"Product Level";"Product Name";"Revision"
"1";"1";"Section";"Animal Products";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"101";"01";"HS2";"Live animals";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"10101";"01.01";"HS4";"Horses";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"1010110";"01.01.10";"HS6";"Live horses/asses/mules/hinnies: pure-bred breeding animals";"HS02,HS07"
"1010111";"01.01.11";"HS6";"Pure-bred Breeding Horses";"HS92,HS96"
"1010119";"01.01.19";"HS6";"Non-breeding Horses";"HS92,HS96"
"1010120";"01.01.20";"HS6";"Live Donkeys, Mules, and Crossbreeds";"HS92,HS96"
"1010121";"01.01.21";"HS6";"Horses: live, pure-bred breeding animals";"HS12,HS17,HS22"
"1010129";"01.01.29";"HS6";"Horses: live, other than pure-bred breeding animals";"HS12,HS17,HS22"
"1010130";"01.01.30";"HS6";"Asses: live";"HS12,HS17,HS22"
"1010190";"01.01.90";"HS6";"Mules and hinnies: live";"HS02,HS07,HS12,HS17,HS22"
"10102";"01.02";"HS4";"Bovine";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"1010210";"01.02.10";"HS6";"Pure-bred Breeding Cattle";"HS92,HS96,HS02,HS07"
"1010221";"01.02.21";"HS6";"Cattle: live, pure-bred breeding animals";"HS12,HS17,HS22"
"1010229";"01.02.29";"HS6";"Cattle: live, other than pure-bred breeding animals";"HS12,HS17,HS22"
"1010231";"01.02.31";"HS6";"Buffalo: live, pure-bred breeding animals";"HS12,HS17,HS22"
"1010239";"01.02.39";"HS6";"Buffalo: live, other than pure-bred breeding animals";"HS12,HS17,HS22"
"1010290";"01.02.90";"HS6";"Non-breeding Cattle";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"10103";"01.03";"HS4";"Pigs";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"1010310";"01.03.10";"HS6";"Pure-bred Breeding Pigs";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"1010391";"01.03.91";"HS6";"Pigs Weighing Under 50 kg (Excluding Breeding Pigs)";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"1010392";"01.03.92";"HS6";"Pigs Weighing Over 50 kg (Excluding Breeding Pigs)";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"10104";"01.04";"HS4";"Sheep and Goats";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"1010410";"01.04.10";"HS6";"Live Sheep";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"1010420";"01.04.20";"HS6";"Live Goats";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"10105";"01.05";"HS4";"Poultry";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"1010511";"01.05.11";"HS6";"Domestic Chickens Weighing Under 185 grams";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"1010512";"01.05.12";"HS6";"Small Turkeys (Live, weighing up to 185g)";"HS96,HS02,HS07,HS12,HS17,HS22"
"1010513";"01.05.13";"HS6";"Poultry: live, ducks, weighing not more than 185g";"HS12,HS17,HS22"
"1010514";"01.05.14";"HS6";"Poultry: live, geese, weighing not more than 185g";"HS12,HS17,HS22"
"1010515";"01.05.15";"HS6";"Poultry: live, guinea fowls, weighing not more than 185g";"HS12,HS17,HS22"
"1010519";"01.05.19";"HS6";"Other Birds Weighing Under 185 grams (Excluding Domestic Chickens)";"HS92,HS96,HS02,HS07"
"1010591";"01.05.91";"HS6";"Domestic Chickens Weighing Over 185 grams";"HS92"
"1010592";"01.05.92";"HS6";"Small Domestic Chickens (Live, weighing up to 2kg)";"HS96,HS02"
"1010593";"01.05.93";"HS6";"Large Domestic Chickens (Live, weighing over 2kg)";"HS96,HS02"
