Code,Description,Declarable
0102292100,For slaughter,True
0102292910,"Young male bovine animals, intended for fattening",True
0102292920,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",True
0102292930,Heifers of the Schwyz and Fribourg breeds,True
0102292940,Heifers of the spotted Simmental breed,True
0102292950,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",True
0102292990,Other,True
0102294100,For slaughter,True
0102294910,"Young male bovine animals, intended for fattening",True
0102294920,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",True
0102294930,Heifers and cows of the Schwyz and Fribourg breeds,True
0102294940,Heifers and cows of the spotted Simmental breed,True
0102294950,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",True
0102294990,Other,True
0102295911,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",False
0102295921,Of the Schwyz and Fribourg breeds,False
0102295931,Of the spotted Simmental breed,False
0102295991,Other,False
0102296100,For slaughter,True
0102296910,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",True
0102296920,Of the Schwyz and Fribourg breeds,True
0102296930,Of the spotted Simmental breed,True
0102296990,Other,True
0102299921,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",False
0102299991,Other,False
0102909900,Other,True
0103921100,"Sows having farrowed at least once, of a weight of not less than 160|kg",True
0103921900,Other,True
0105111100,Laying stocks,True
0105111900,Other,True
0105119100,Laying stocks,True
0105119900,Other,True
0203121100,Hams and cuts thereof,True
0203121900,Shoulders and cuts thereof,True
0203191100,Fore-ends and cuts thereof,True
0203191300,"Loins and cuts thereof, with bone in",True
0203191500,Bellies (streaky) and cuts thereof,True
0203195900,Other,True
0203221100,Hams and cuts thereof,True
0203221900,Shoulders and cuts thereof,True
0203291100,Fore-ends and cuts thereof,True
0203291300,"Loins and cuts thereof, with bone in",True
0203291500,Bellies (streaky) and cuts thereof,True
0203295900,Other,True
0204501100,Carcases and half-carcases,True
0204501300,Short forequarters,True
0204501500,Chines and/or best ends,True
0204501900,Legs,True
0204503100,Cuts with bone in,True
0204503910,Goatmeat of kid,True
0204503990,Other,True
0204505100,Carcases and half-carcases,True
0204505300,Short forequarters,True
0204505500,Chines and/or best ends,True
0204505900,Legs,True
0204507100,Cuts with bone in,True
0204507910,Goatmeat of kid,True
0204507990,Other,True
0206109800,Other,True
0206299900,Other,True
0206809100,"Of horses, asses, mules and hinnies",True
0206809900,Of sheep and goats,True
0206909100,"Of horses, asses, mules and hinnies",True
0206909900,Of sheep and goats,True
0207139100,Livers,True
0207139900,Other,True
0207149100,Livers,True
0207149900,Other,True
0207269100,Livers,True
0207269900,Other,True
0207279100,Livers,True
0207279900,Other,True
0207442100,Halves or quarters,True
0207443100,"Whole wings, with or without tips",True
0207444100,"Backs, necks, backs with necks attached, rumps and wing-tips",True
0207445100,Breasts and cuts thereof,True
0207446100,Legs and cuts thereof,True
0207447100,Paletots,True
0207448100,Other,True
0207449100,"Livers, other than fatty livers",True
0207449900,Other,True
0207452100,Halves or quarters,True
0207453100,"Whole wings, with or without tips",True
0207454100,"Backs, necks, backs with necks attached, rumps and wing-tips",True
0207455100,Breasts and cuts thereof,True
0207456100,Legs and cuts thereof,True
0207457100,Paletots,True
0207458100,Other,True
0207459900,Other,True
0207542100,Halves or quarters,True
0207543100,"Whole wings, with or without tips",True
0207544100,"Backs, necks, backs with necks attached, rumps and wing-tips",True
0207545100,Breasts and cuts thereof,True
0207546100,Legs and cuts thereof,True
0207547100,Paletots,True
0207548100,Other,True
0207549100,"Livers, other than fatty livers",True
0207549900,Other,True
0207552100,Halves or quarters,True
0207553100,"Whole wings, with or without tips",True
0207554100,"Backs, necks, backs with necks attached, rumps and wing-tips",True
0207555100,Breasts and cuts thereof,True
0207556100,Legs and cuts thereof,True
0207557100,Paletots,True
0207558100,Other,True
0207559900,Other,True
0207600510,fresh or chilled,True
0207600590,frozen,True
