Code,Description,Declarable
8407219900,Of a power exceeding 30|kW,True
8407349910,"New dual cylinder, air cooled, four stroke 49 degree V-twin internal combustion spark-ignition engine with:

-a cylinder capacity exceeding 1800 cm³,

-overall dimensions of not more than: 800 mm (length) x 500 mm (width) x 600 mm (height),

-a power of 60 kW or more but not more than 75kW,

-equipped with a dry sump system with an intermediate wet receptacle,

-whether or not equipped with a starter, outfitted with a throttle body, two or more fuel injectors, a stator,
for use in the manufacture of motorcycle bikes",True
8407349990,Other,True
8408101100,"For seagoing vessels of headings|8901|to 8906, tugs of subheading|8904|00|10|and warships of subheading|8906|10|00",True
8408101900,Other,True
8408103100,"For seagoing vessels of headings|8901|to 8906, tugs of subheading|8904|00|10|and warships of subheading|8906|10|00",True
8408103900,Other,True
8408104100,"For seagoing vessels of headings|8901|to 8906, tugs of subheading|8904|00|10|and warships of subheading|8906|10|00",True
8408104900,Other,True
8408105100,"For seagoing vessels of headings|8901|to 8906, tugs of subheading|8904|00|10|and warships of subheading|8906|10|00",True
8408105900,Other,True
8408106100,"For seagoing vessels of headings|8901|to 8906, tugs of subheading|8904|00|10|and warships of subheading|8906|10|00",True
8408106900,Other,True
8408107100,"For seagoing vessels of headings|8901|to 8906, tugs of subheading|8904|00|10|and warships of subheading|8906|10|00",True
8408107900,Other,True
8408108100,"For seagoing vessels of headings|8901|to 8906, tugs of subheading|8904|00|10|and warships of subheading|8906|10|00",True
8408108900,Other,True
8408109100,"For seagoing vessels of headings|8901|to 8906, tugs of subheading|8904|00|10|and warships of subheading|8906|10|00",True
8408109900,Other,True
8408205100,Not exceeding 50|kW,True
8408205500,Exceeding 50|kW but not exceeding 100|kW,True
8408205700,Exceeding 100|kW but not exceeding 200|kW,True
8408209900,Exceeding 200|kW,True
8408904310,For use in civil aircraft,True
8408904390,Other,True
8408904510,For use in civil aircraft,True
8408904590,Other,True
8408904710,For use in civil aircraft,True
8408904790,Other,True
8408906110,For use in civil aircraft,True
8408906190,Other,True
8408906510,For use in civil aircraft,True
8408906520,"Compression-ignition internal combustion piston engines:
 
-of the inline type,
 
-with a cylinder capacity of 7 000 cm³ or more but not more than 18 100 cm³,
 
-with a power of 205 kW or more but not more than 597 kW,
 
-with an exhaust after-treatment module,
 
-with external width/height/depth dimensions of not more than 1 310/1 300/1 040 mm or 2 005/1 505/1 300 mm or 2 005/1 505/1 800 mm,
for use in the manufacture of crushing, screening, separation or compost turning machines",True
8408906590,Other,True
8408906710,For use in civil aircraft,True
8408906720,"Compression-ignition internal combustion piston engines:
 
-of the inline type,
 
-with a cylinder capacity of 7 000 cm³ or more but not more than 18 100 cm³,
 
-with a power of 205 kW or more but not more than 597 kW,
 
-with an exhaust after-treatment module,
 
-with external width/height/depth dimensions of not more than 1 310/1 300/1 040 mm or 2 005/1 505/1 300 mm or 2 005/1 505/1 800 mm,
for use in the manufacture of crushing, screening, separation or compost turning machines",True
8408906790,Other,True
8408908110,For use in civil aircraft,True
