DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS,vat_rate,amount_with_vat
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-01,74.8,ip,,19.0,89.01199999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-02,76.1,ip,,19.0,90.55899999999998
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-03,88.0,ip,,19.0,104.72
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-04,84.2,ip,,19.0,100.198
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-05,84.2,ip,,7.0,90.09400000000001
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-06,83.6,ip,,7.0,89.452
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-07,83.2,ip,,19.0,99.008
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-08,80.4,ip,,7.0,86.028
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-09,86.2,ip,,7.0,92.23400000000001
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-10,91.2,ip,,19.0,108.52799999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-11,91.7,ip,,19.0,109.123
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1994-12,94.4,ip,,19.0,112.336
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1995-01,76.6,ip,,7.0,81.962
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1995-02,79.4,ip,,19.0,94.486
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1995-03,91.3,ip,,7.0,97.691
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1995-04,87.1,ip,,7.0,93.197
