tax_code,description
8901,"Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the transport of persons or goods"
8901 10,"–Cruise ships, excursion boats and similar vessels principally designed for the transport of persons; ferry-boats of all kinds"
8901 10 10,– – Seagoing
8901 20,–Tankers
8901 20 10,– – Seagoing
8901 30,"–Refrigerated vessels, other than those of subheading 8901 20"
8901 30 10,– – Seagoing
8901 90,–Other vessels for the transport of goods and other vessels for the transport of both persons and goods
8901 90 10,– – Seagoing
8902 00,Fishing vessels; factory ships and other vessels for processing or preserving fishery products
8902 00 10,– Seagoing
8903,Yachts and other vessels for pleasure or sports; rowing boats and canoes
8903 22,"– –Of a length exceeding 7,5 m but not exceeding 24 m"
8903 22 10,– – – Seagoing
8903 23,– –Of a length exceeding 24 m
8903 23 10,– – – Seagoing
8903 32,"– –Of a length exceeding 7,5 m but not exceeding 24 m"
8903 32 10,– – – Seagoing
8903 33,– –Of a length exceeding 24 m
8903 33 10,– – – Seagoing
8904 00,Tugs and pusher craft
8904 00 10,– Tugs
8904 00 91,– – Seagoing
8905,"Light-vessels, fire-floats, dredgers, floating cranes, and other vessels the navigability of which is subsidiary to their main function; floating docks; floating or submersible drilling or production platforms"
8905 10,–Dredgers
8905 10 10,– – Seagoing
8905 90,–Other
8905 90 10,– – Seagoing
8906,"Other vessels, including warships and lifeboats other than rowing boats"
8906 10 00,–Warships
8906 90,–Other
8906 90 10,– – Seagoing
4008 29,"Profile shapes, cut to size"
4504 90,"Gaskets, washers and other seals"
6812 80,"Other than clothing, clothing accessories, footwear, headgear, paper, millboard, felt or compressed asbestos fibre jointing, in sheets or rolls"
6812 99,"Other than paper, millboard, felt; other than compressed asbestos fibre jointing, in sheets or rolls"
7007 21,"Windshields, not framed"
7322 90,Air heaters and hot-air distributors (excluding parts thereof)
7324 90,Sanitary ware (excluding parts thereof)
8108 90,"Tubes and pipes, with fittings attached, suitable for conducting gases or liquids"
8415 90,"Of air-conditioning machines of subheading 8415 81 , 8415 82  or 8415 83"
8419 90,Parts of heat exchange units
8479 89,"Hydropneumatic batteries; mechanical actuators for thrust reversers; toilet units specially designed; air humidifiers and dehumidifiers; servomechanisms, non-electric; non-electric starter motors; pneumatic starters for turbojets, turbopropellers and other gas turbines; windscreen wipers, non-electric; propeller regulators, non-electric"
8501 31,"Of an output exceeding 735 W, DC generators"
8501 33,Motors of an output not exceeding 150 kW and generators
8501 34,"Generators, of an output exceeding 375 kW"
8501 51,Of an output exceeding 735 W
8501 53,Of an output not exceeding 150 kW
8501 72,Of an output exceeding 735 W
8501 80,Of an output not exceeding 750 kW
8516 80 20,"Assembled only with a simple insulated former and electrical connections, used for anti-icing or de-icing"
8522 90,"Assemblies and sub-assemblies consisting of two or more parts or pieces fastened or joined together, for apparatus of subheading 8519 81"
8529 90,"Assemblies and sub-assemblies consisting of two or more parts or pieces fastened or joined together, for apparatus of heading 8526"
8536 70,"Connectors of plastics for optical fibres, optical fibre bundles or cables"
8543 70 90,Electric synchros and transducers; defrosters and demisters with electric resistors
9020 00,Excluding parts
9029 10,Electric or electronic revolution counters
9029 90,"Of revolution counters, speed indicators and tachometers"
0101,"Live horses, asses, mules and hinnies:  "
0101 21 00,– –Pure-bred breeding animals(19) Free p/st
0101 29,– –Other:  
0101 29 10,– – – For slaughter(31) Free p/st
0101 29 90,"– – – Other 11,5 p/st"
0101 30 00,"–Asses 7,7 p/st"
0101 90 00,"–Other 10,9 p/st"
0102,Live bovine animals:  
0102 21,– –Pure-bred breeding animals(32):  
0102 21 10,– – – Heifers (female bovines that have never calved) Free p/st
0102 21 30,– – – Cows Free p/st
0102 21 90,– – – Other Free p/st
0102 29,– –Other:  
0102 29 05,– – – Of the sub-genusBibosor of the sub-genusPoephagus Free p/st
0102 29 10,"– – – – Of a weight not exceeding 80 kg 10,2 + 93,1 €/100 kg/net(18) p/st"
0102 29 21,"– – – – – For slaughter 10,2 + 93,1 €/100 kg/net p/st"
0102 29 29,"– – – – – Other 10,2 + 93,1 €/100 kg/net(18) p/st"
0102 29 41,"– – – – – For slaughter 10,2 + 93,1 €/100 kg/net p/st"
0102 29 49,"– – – – – Other 10,2 + 93,1 €/100 kg/net(18) p/st"
0102 29 51,"– – – – – – For slaughter 10,2 + 93,1 €/100 kg/net p/st"
0102 29 59,"– – – – – – Other 10,2 + 93,1 €/100 kg/net(18) p/st"
0102 29 61,"– – – – – – For slaughter 10,2 + 93,1 €/100 kg/net p/st"
0102 29 69,"– – – – – – Other 10,2 + 93,1 €/100 kg/net(18) p/st"
0102 29 91,"– – – – – – For slaughter 10,2 + 93,1 €/100 kg/net p/st"
0102 29 99,"– – – – – – Other 10,2 + 93,1 €/100 kg/net(18) p/st"
0102 31 00,– –Pure-bred breeding animals(32) Free p/st
0102 39,– –Other:  
0102 39 10,"– – – Domestic species 10,2 + 93,1 €/100 kg/net p/st"
0102 39 90,– – – Other Free p/st
0102 90,–Other:  
0102 90 20,– – Pure-bred breeding animals(32) Free p/st
